id,created_at,closed_at,handle_seconds,status,channel,customer_name,customer_email,customer_country,order_number,order_product,order_source,order_authorized,issue,decision,reason_code,citation,primary_agent_id,stage
WC-10133,2026-05-17T20:41:42Z,2026-05-17T20:46:48Z,306,CLOSED,email,"Mateo Gagnon","mateo.gagnon@example.ca",CA,"JD-100028","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Edge guard came loose during play",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10037,2026-05-17T20:30:39Z,2026-05-17T20:32:07Z,88,CLOSED,email,"Ethan Hughes","ethan.hughes@example.com",US,"JD-100023","iPong Carbon Fiber Robot",JOOLA_DIRECT,true,"Handle grip is peeling off",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10260,2026-05-17T19:03:32Z,,,OPEN,email,"Mateo Gagnon","mateo.gagnon@example.ca",CA,"JD-100028","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Ball logo prints are flaking off",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,verify
WC-10157,2026-05-17T17:26:16Z,2026-05-17T17:35:33Z,557,CLOSED,email,"Liam Tremblay","liam.tremblay@example.ca",CA,"JD-100026","JOOLA Rhyzm 425 Rubber",JOOLA_DIRECT,true,"Paddle face has bubbling under the surface",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10095,2026-05-17T17:11:26Z,,,OPEN,email,"Sarah Lee","sarah.lee@example.com",US,"JD-100002","JOOLA Hyperion CFS 16mm",JOOLA_DIRECT,true,"Core sounds dead, very dampened response",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_EXTENDED_WARRANTY","§2.5",response,draft
WC-10274,2026-05-17T16:36:41Z,2026-05-17T16:44:22Z,461,CLOSED,email,"Nadia Costa","nadia.costa@example.com",US,"JD-100020","JOOLA Primo Pickleballs (12)",JOOLA_DIRECT,true,"Eyewear hinge snapped on first use",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,closed
WC-10020,2026-05-17T16:26:51Z,,,OPEN,email,"Daniel Kim","daniel.kim@example.com",US,"JD-100014","JOOLA Magnus 3 14mm",JOOLA_DIRECT,true,"Customer mentioned social media — handle with care.",HUMAN_REVIEW_REQUIRED,"BRAND_RISK","§5.2",esc,draft
WC-10023,2026-05-17T15:49:15Z,2026-05-17T15:59:59Z,644,CLOSED,email,"Ravi Kumar","ravi.kumar@example.in",IN,"JD-100040","JOOLA Perseus 3 16mm",JOOLA_DIRECT,true,"Edge guard came loose during play",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10238,2026-05-17T13:28:22Z,,,REOPENED,email,"Lena Schmidt","lena.schmidt@example.de",DE,"JD-100042","JOOLA Scorpeus 4 14mm",JOOLA_DIRECT,true,"Paddle bag handle stitching came apart",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,rules
WC-10224,2026-05-17T12:06:58Z,2026-05-17T12:17:12Z,614,CLOSED,email,"Ravi Kumar","ravi.kumar@example.in",IN,"JD-100040","JOOLA Perseus 3 16mm",JOOLA_DIRECT,true,"Eyewear lens has internal scratch",HUMAN_REVIEW_REQUIRED,"TABLE_SIGNED_DAMAGED","§4.11, §2.7, §5.2",esc,closed
WC-10117,2026-05-17T09:38:51Z,,,OPEN,email,"Lauren Chen","lauren.chen@example.com",US,"JD-100055","JOOLA Tour Elite Bag",JOOLA_DIRECT,true,"Eyewear lens has internal scratch",NOT_ELIGIBLE,"NON_ORIGINAL_PURCHASER","§4.4, §2.1",rules,rules
WC-10240,2026-05-16T15:51:26Z,2026-05-16T15:57:45Z,379,CLOSED,email,"Daniel Kim","daniel.kim@example.com",US,"JD-100060","JOOLA Vision CGS 14mm",JOOLA_DIRECT,true,"Paddle face has bubbling under the surface",NOT_ELIGIBLE,"CANCELLATION_NOT_PERMITTED","§1.5, §4.10",rules,closed
WC-10215,2026-05-16T15:04:25Z,,,REOPENED,email,"Aisha Khan","aisha.khan@example.com",US,"JD-100017","JOOLA Solaire Paddle",JOOLA_DIRECT,true,"Edge guard fully detached on the bottom",HUMAN_REVIEW_REQUIRED,"AMBIGUOUS_DAMAGE","§2.3, §5.2",esc,rules
WC-10116,2026-05-16T14:55:16Z,,,OPEN,email,"Hannah Cole","hannah.cole@example.com",US,"JD-100010","JOOLA Perseus Pro IV 16mm",JOOLA_DIRECT,true,"Question about warranty registration window",ELIGIBLE_FOR_DAMAGE_REVIEW,"AUTHORIZED_PURCHASE_IN_WARRANTY","§2.2, §2.4",response,draft
WC-10197,2026-05-16T14:43:50Z,,,OPEN,email,"Lauren Chen","lauren.chen@example.com",US,"JD-100055","JOOLA Tour Elite Bag",JOOLA_DIRECT,true,"Hairline crack near throat area",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,intake
WC-10236,2026-05-15T18:40:23Z,2026-05-15T18:52:14Z,711,CLOSED,email,"Daniel Kim","daniel.kim@example.com",US,"JD-100060","JOOLA Vision CGS 14mm",JOOLA_DIRECT,true,"Bag zipper broke within a month",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,closed
WC-10115,2026-05-15T18:02:54Z,2026-05-15T18:14:39Z,705,CLOSED,email,"Marcus Hall","marcus.hall@example.com",US,"JD-100018","JOOLA Essentials Paddle",JOOLA_DIRECT,true,"Eyewear hinge snapped on first use",ELIGIBLE_FOR_DAMAGE_REVIEW,"AUTHORIZED_PURCHASE_IN_WARRANTY","§2.2, §2.4",response,closed
WC-10176,2026-05-15T16:38:32Z,2026-05-15T16:43:04Z,272,CLOSED,email,"Tomás Rivera","tomas.rivera@example.com",US,"FB-400002","JOOLA Vision CGS 14mm",FACEBOOK_MARKETPLACE,false,"Surface delaminating around the perimeter",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10028,2026-05-15T13:10:17Z,2026-05-15T13:17:13Z,416,CLOSED,email,"Ben Carter","ben.carter@example.com",US,"JD-100016","JOOLA Journey Paddle",JOOLA_DIRECT,true,"Carbon face has visible fiber lifting",HUMAN_REVIEW_REQUIRED,"AMBIGUOUS_DAMAGE","§2.3, §5.2",esc,closed
WC-10091,2026-05-15T08:53:38Z,2026-05-15T08:57:30Z,232,CLOSED,email,"Ben Carter","ben.carter@example.com",US,"JD-100016","JOOLA Journey Paddle",JOOLA_DIRECT,true,"Handle grip is peeling off",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10015,2026-05-14T17:07:51Z,2026-05-14T19:07:51Z,7200,CLOSED,email,"Carlos Vega","carlos.vega@example.com",PR,"JD-100029","JOOLA Infinity Apparel Tee",JOOLA_DIRECT,true,"Final-sale Infinity tee arrived with a torn seam — received 3 days ago",ELIGIBLE_FOR_DAMAGE_REVIEW,"FINAL_SALE_DEFECT_IN_WINDOW","§1.8",response,closed
WC-10045,2026-05-14T15:05:26Z,2026-05-14T15:29:35Z,1449,CLOSED,email,"John Smith","john.smith@example.com",US,"JD-100047","JOOLA Solaire Paddle",JOOLA_DIRECT,true,"Receipt was uploaded but never approved",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10230,2026-05-14T11:20:29Z,2026-05-14T11:30:20Z,591,CLOSED,email,"Marcus Hall","marcus.hall@example.com",US,"JD-100018","JOOLA Essentials Paddle",JOOLA_DIRECT,true,"Paddle face has bubbling under the surface",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10160,2026-05-14T10:24:36Z,2026-05-14T10:28:08Z,212,CLOSED,email,"Ethan Hughes","ethan.hughes@example.com",US,"EB-300003","JOOLA Scorpeus 4 16mm",EBAY,false,"Throat area has spider-web cracks",NOT_ELIGIBLE,"OUTSIDE_WARRANTY_REGION","§2.1, §4.13",rules,closed
WC-10239,2026-05-14T09:56:55Z,2026-05-14T09:58:59Z,124,CLOSED,email,"David Park","david.park@example.com",US,"JD-100054","JOOLA Infinity Apparel Tee",JOOLA_DIRECT,true,"Paddle face cracked along the edge",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10024,2026-05-14T08:07:34Z,2026-05-14T08:26:19Z,1125,CLOSED,email,"Charlotte Roy","charlotte.roy@example.ca",CA,"JD-100027","JOOLA Prime 40+ Balls (6)",JOOLA_DIRECT,true,"Replacement paddle has the same defect",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,closed
WC-10131,2026-05-13T17:31:14Z,2026-05-13T17:42:56Z,702,CLOSED,email,"Chris Wilson","chris.wilson@example.com",US,"JD-100052","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Eyewear lens has internal scratch",HUMAN_REVIEW_REQUIRED,"AMBIGUOUS_DAMAGE","§2.3, §5.2",esc,closed
WC-10088,2026-05-13T12:23:51Z,2026-05-13T12:53:38Z,1787,CLOSED,email,"Carlos Vega","carlos.vega@example.com",PR,"JD-100029","JOOLA Infinity Apparel Tee",JOOLA_DIRECT,true,"Eyewear hinge snapped on first use",NOT_ELIGIBLE,"CANCELLATION_NOT_PERMITTED","§1.5, §4.10",rules,closed
WC-10204,2026-05-13T11:43:21Z,2026-05-13T11:48:54Z,333,CLOSED,email,"Ethan Hughes","ethan.hughes@example.com",US,"EB-300003","JOOLA Scorpeus 4 16mm",EBAY,false,"Throat area has spider-web cracks",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10137,2026-05-13T11:17:32Z,2026-05-13T11:21:18Z,226,CLOSED,email,"Charlotte Roy","charlotte.roy@example.ca",CA,"JD-100027","JOOLA Prime 40+ Balls (6)",JOOLA_DIRECT,true,"Receipt was uploaded but never approved",NOT_ELIGIBLE,"OUTSIDE_WARRANTY_REGION","§2.1, §4.13",rules,closed
WC-10031,2026-05-13T11:13:47Z,2026-05-13T11:25:17Z,690,CLOSED,email,"Hannah Cole","hannah.cole@example.com",US,"AR-200056","JOOLA Indoor Tournament Table 3000",AUTHORIZED_RETAILER,true,"Surface delaminating around the perimeter",ELIGIBLE_FOR_DAMAGE_REVIEW,"AUTHORIZED_PURCHASE_IN_WARRANTY","§2.2, §2.4",response,closed
WC-10058,2026-05-13T08:46:18Z,,,REOPENED,email,"Ethan Hughes","ethan.hughes@example.com",US,"JD-100023","iPong Carbon Fiber Robot",JOOLA_DIRECT,true,"Ball logo prints are flaking off",ELIGIBLE_FOR_DAMAGE_REVIEW,"AUTHORIZED_PURCHASE_IN_WARRANTY","§2.2, §2.4",response,rules
WC-10094,2026-05-13T08:21:32Z,2026-05-13T08:24:56Z,204,CLOSED,email,"Nadia Costa","nadia.costa@example.com",US,"FB-400001","JOOLA Magnus 3 16mm",FACEBOOK_MARKETPLACE,false,"Paddle face cracked along the edge",HUMAN_REVIEW_REQUIRED,"TABLE_SIGNED_DAMAGED","§4.11, §2.7, §5.2",esc,closed
WC-10085,2026-05-12T20:12:27Z,2026-05-12T20:22:29Z,602,CLOSED,email,"Ravi Kumar","ravi.kumar@example.in",IN,"","",,false,"Paddle bag handle stitching came apart",HUMAN_REVIEW_REQUIRED,"TABLE_SIGNED_DAMAGED","§4.11, §2.7, §5.2",esc,closed
WC-10009,2026-05-12T17:07:51Z,2026-05-12T19:07:51Z,7200,CLOSED,email,"Lauren Chen","lauren.chen@example.com",US,"JD-100009","JOOLA Scorpeus 4 14mm",JOOLA_DIRECT,true,"Ordered the Scorpeus 4 but received a Magnus 3 — please send the correct paddle",ELIGIBLE_FOR_DAMAGE_REVIEW,"WRONG_ITEM_JOOLA_ERROR","§4.9, §1.3",response,closed
WC-10146,2026-05-12T16:28:39Z,2026-05-12T16:32:51Z,252,CLOSED,email,"Oliver Bennett","oliver.bennett@example.co.uk",GB,"JD-100041","JOOLA Hyperion CFS 16mm",JOOLA_DIRECT,true,"Bag zipper broke within a month",NOT_ELIGIBLE,"CANCELLATION_NOT_PERMITTED","§1.5, §4.10",rules,closed
WC-10269,2026-05-12T15:41:38Z,2026-05-12T15:51:43Z,605,CLOSED,email,"Lena Schmidt","lena.schmidt@example.de",DE,"JD-100042","JOOLA Scorpeus 4 14mm",JOOLA_DIRECT,true,"Order arrived but paddle was damaged in box",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
