id,created_at,closed_at,handle_seconds,status,channel,customer_name,customer_email,customer_country,order_number,order_product,order_source,order_authorized,issue,decision,reason_code,citation,primary_agent_id,stage
WC-10133,2026-05-17T20:41:42Z,2026-05-17T20:46:48Z,306,CLOSED,email,"Mateo Gagnon","mateo.gagnon@example.ca",CA,"JD-100028","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Edge guard came loose during play",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_REGISTERED_WITHIN_WINDOW","§2.5, §2.4",response,closed
WC-10077,2026-05-17T20:35:30Z,2026-05-17T20:45:58Z,628,CLOSED,web,"Carlos Vega","carlos.vega@example.com",PR,"JD-100029","JOOLA Infinity Apparel Tee",JOOLA_DIRECT,true,"Paddle bag handle stitching came apart",NOT_ELIGIBLE,"UNAUTHORIZED_SELLER","§1.7, §2.3",rules,closed
WC-10037,2026-05-17T20:30:39Z,2026-05-17T20:32:07Z,88,CLOSED,email,"Ethan Hughes","ethan.hughes@example.com",US,"JD-100023","iPong Carbon Fiber Robot",JOOLA_DIRECT,true,"Handle grip is peeling off",ELIGIBLE_FOR_DAMAGE_REVIEW,"DEFECT_REPORTED_WITH_PHOTOS","§2.8 Step 2",response,closed
WC-10104,2026-05-17T20:18:28Z,,,OPEN,voice,"Mateo Gagnon","mateo.gagnon@example.ca",CA,"JD-100028","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Question about warranty registration window",PROCESSING,"","",intake,intake
WC-10285,2026-05-17T19:18:22Z,,,OPEN,voice,"Sarah Lee","sarah.lee@example.com",US,"","",,false,"Cracked paddle",PROCESSING,"","",,verify
WC-10284,2026-05-17T19:17:10Z,,,OPEN,web,"John Smith","john.smith@example.com",US,"JD-100001","JOOLA Perseus 3 14mm",JOOLA_DIRECT,true,"My paddle cracked along the edge during normal play.",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_EXTENDED_WARRANTY","§2.5",response,draft
WC-10283,2026-05-17T19:17:00Z,,,OPEN,web,"John Smith","john.smith@example.com",US,"JD-100001","JOOLA Perseus 3 14mm",JOOLA_DIRECT,true,"My paddle cracked along the edge during normal play.",ELIGIBLE_FOR_DAMAGE_REVIEW,"NFC_EXTENDED_WARRANTY","§2.5",esc,rules
WC-10282,2026-05-17T19:16:19Z,,,OPEN,voice,"John Smith","john.smith@example.com",US,"","",,false,"(voice call in progress)",PROCESSING,"","",,intake
WC-10281,2026-05-17T19:16:18Z,,,OPEN,voice,"John Smith","john.smith@example.com",US,"","",,false,"(voice call in progress)",PROCESSING,"","",,intake
WC-10053,2026-05-17T19:07:10Z,2026-05-17T19:09:58Z,168,CLOSED,web,"Tomás Rivera","tomas.rivera@example.com",US,"JD-100025","JOOLA Outdoor Pro Table",JOOLA_DIRECT,true,"Net height adjustment slipping during play",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,closed
WC-10260,2026-05-17T19:03:32Z,,,OPEN,email,"Mateo Gagnon","mateo.gagnon@example.ca",CA,"JD-100028","JOOLA Spirit Carbon Blade",JOOLA_DIRECT,true,"Ball logo prints are flaking off",ELIGIBLE_FOR_DAMAGE_REVIEW,"DAMAGED_ON_ARRIVAL","§3.9, §1.3",response,verify
